,alpha,ratio,twosigdown,onesigdown,exp,onesigup,twosigup,obs
1,-0.973,-6.0,0.219399625261,0.302030652957,0.413155138478,0.581266539652,0.803515510696,0.746528595044
2,-0.9412,-4.0,0.258536765257,0.351244393202,0.494875929456,0.695960080211,0.954496845468,0.917936090785
3,-0.9,-3.0,0.308972932621,0.411963910161,0.577512370355,0.814773066762,1.11993151873,1.10085911549
4,-0.8621,-2.5,0.340251404469,0.45494905533,0.640440950025,0.908251732897,1.24521038184,1.24521038184
5,-0.8,-2.0,0.382152277694,0.513633519435,0.7218431912,1.02987431562,1.40792944414,1.43251233919
6,-0.6923,-1.5,0.431858096919,0.581329500874,0.821976129395,1.1726859446,1.62366518836,1.66703754583
7,-0.64,-1.333,0.450216574807,0.606779778157,0.863434382653,1.23166947909,1.70525369619,1.74984694689
8,-0.6098,-1.25,0.456364616991,0.616632361802,0.875008759237,1.25522406101,1.73301674112,1.77888342168
9,-0.5,-1.0,0.476393104632,0.647998468208,0.9203343629,1.33480934467,1.85520715297,1.86494270688
10,-0.4098,-0.833,0.486258538039,0.66349199543,0.953969388676,1.37603231976,1.92998991682,1.87743813585
11,-0.36,-0.75,0.488335173367,0.666185075036,0.957891730771,1.38934410627,1.9427663272,1.84823513907
12,-0.3077,-0.667,0.487105354536,0.664606449479,0.955602370153,1.39362020996,1.95483808674,1.79562449728
13,-0.2,-0.5,0.480633785034,0.661374528352,0.957547871908,1.40415556559,1.97540363691,1.63081323864
14,-0.1,-0.333,0.467028248007,0.644010723378,0.934101957733,1.37717187938,1.95449025974,1.37317124803
15,-0.0588,-0.25,0.455590385103,0.626881730202,0.907621164724,1.34537440588,1.9145201175,1.23760832783
16,-0.027,-0.167,0.441633618485,0.610264711885,0.886702501904,1.31435930717,1.8704007196,1.11747147574
17,0.0,-0.0,0.43406877491,0.599821259045,0.871524931564,1.29186589625,1.8383549946,1.00768239625
18,0.027,0.167,0.468493848846,0.646012524244,0.936987697691,1.38889140667,1.97646234251,1.21751567979
19,0.0588,0.25,0.505948236891,0.692246154773,1.00796200875,1.48606941186,2.10903303263,1.55369427785
20,0.1,0.333,0.547139019715,0.749660452177,1.08161047544,1.57740097593,2.22594035432,2.05483847033
21,0.2,0.5,0.554842677197,0.747745861918,1.06396501473,1.52623588099,2.10707196258,2.3939269388
22,0.3077,0.667,0.46940867993,0.631745969042,0.893448618637,1.28164522509,1.76940986031,2.06692688955
23,0.36,0.75,0.438190912441,0.58814764672,0.834015115309,1.19637430272,1.65166583806,1.93233692273
24,0.4098,0.833,0.413467366527,0.557914530414,0.78695312711,1.12889697872,1.5683835032,1.82857508274
25,0.5,1.0,0.374611231764,0.502795389558,0.71298164091,1.01989775118,1.4190727916,1.64309262256
26,0.6098,1.25,0.343774221674,0.46392287131,0.654365293949,0.938666334816,1.29590618233,1.48498601188
27,0.64,1.333,0.340315312574,0.454939200008,0.642969793397,0.922280029842,1.2732643916,1.45327040099
28,0.6923,1.5,0.325803364785,0.436613716906,0.615445114136,0.882878282946,1.21879759803,1.3732111842
29,0.8,2.0,0.296515407378,0.39642820769,0.560156280459,0.799302402497,1.10656112174,1.20539959086
30,0.8621,2.5,0.271946729409,0.365275491301,0.513832509294,0.732997804075,1.01473181937,1.07100871325
31,0.9,3.0,0.252780409712,0.338256671966,0.475852606325,0.679119327537,0.939717688065,0.970468294607
32,0.9412,4.0,0.22187640185,0.301048157576,0.424204222038,0.603073744234,0.830814720582,0.830814720582
33,0.973,6.0,0.194611265659,0.274331543158,0.375154247053,0.525215945875,0.726861353666,0.698724785137
